Country,TotalRevenue,AvgRevenue,TotalTransactions,UniqueCustomers,UniqueProducts,TotalQuantity,AvgQuantity,AvgUnitPrice,MarketShare,RevenuePerCustomer,TransactionsPerCustomer
AUSTRALIA,123626.06,119.33,1036,9,558,75359,72.74,3.07,0.011930241186665018,13736.228888888889,115.11111111111111
AUSTRIA,8780.94,25.83,340,11,265,4131,12.15,4.42,0.0008473838933768037,798.2672727272728,30.90909090909091
BAHRAIN,754.14,41.9,18,3,16,314,17.44,4.6,7.277650107519044e-05,251.38,6.0
BELGIUM,35123.79,20.35,1726,25,712,19739,11.44,3.7,0.00338953846858642,1404.9516,69.04
BRAZIL,988.05,36.59,27,1,27,315,11.67,4.29,9.53494336427479e-05,988.05,27.0
CANADA,3165.99,24.54,129,4,126,2472,19.16,6.66,0.0003055263938248099,791.4975,32.25
CHANNEL ISLANDS,17544.51,27.8,631,9,395,8075,12.8,4.24,0.0016930915358934536,1949.3899999999999,70.11111111111111
CYPRUS,11825.56,22.48,526,8,440,4959,9.43,6.12,0.0011411977617613823,1478.195,65.75
CZECH REPUBLIC,715.5,34.07,21,1,21,539,25.67,3.5,6.904763905813079e-05,715.5,21.0
DENMARK,15599.92,49.37,316,9,220,6960,22.03,3.16,0.0015054334668004412,1733.3244444444445,35.111111111111114
EIRE,247495.72,36.61,6760,4,1862,126901,18.77,5.02,0.023883990416481066,61873.93,1690.0
EUROPEAN COMMUNITY,1128.65,22.13,51,1,44,429,8.41,4.85,0.00010891770485389144,1128.65,51.0
FINLAND,19509.51,33.7,579,12,399,9066,15.66,5.58,0.0018827192238728065,1625.7924999999998,48.25
FRANCE,391446.59,21.33,18349,2529,2613,208888,11.38,3.96,0.03777562942956829,154.78315144325822,7.255436931593516
GERMANY,407336.28,21.53,18921,2537,2672,214732,11.35,3.74,0.03930902646641747,160.55824990145842,7.458021284982262
GREECE,4022.8,32.44,124,4,119,1293,10.43,4.82,0.0003882108209686213,1005.7,31.0
HONG KONG,11392.79,47.87,238,1,163,4092,17.19,15.0,0.001099434314165034,11392.79,238.0
ICELAND,3828.84,23.78,161,1,96,2158,13.4,2.7,0.00036949316887677637,3828.84,161.0
ISRAEL,6850.66,27.29,251,4,222,3923,15.63,3.05,0.0006611067770649536,1712.665,62.75
ITALY,14805.1,23.28,636,14,412,6680,10.5,4.88,0.0014287312383221974,1057.507142857143,45.42857142857143
JAPAN,29966.82,108.97,275,8,199,21700,78.91,2.04,0.0028918772481900416,3745.8525,34.375
LEBANON,1514.93,37.87,40,1,40,347,8.68,5.46,0.0001461947447076647,1514.93,40.0
LITHUANIA,1209.86,48.39,25,1,23,520,20.8,2.64,0.00011675468426396941,1209.86,25.0
MALTA,2333.13,25.09,93,2,84,781,8.4,4.8,0.00022515320491362222,1166.565,46.5
NETHERLANDS,242068.81,120.49,2009,9,730,168995,84.12,2.67,0.023360279273390974,26896.534444444445,223.22222222222223
NORWAY,32189.67,34.03,946,10,539,17131,18.11,5.19,0.0031063881419431737,3218.9669999999996,94.6
POLAND,6113.82,22.23,275,6,182,3078,11.19,4.16,0.0005899997716651029,1018.9699999999999,45.833333333333336
PORTUGAL,28896.73,22.44,1288,20,648,13991,10.86,5.56,0.0027886107379458554,1444.8365,64.4
RSA,863.33,17.99,48,1,48,286,5.96,4.46,8.33136243578701e-05,863.33,48.0
SAUDI ARABIA,108.42,15.49,7,1,7,62,8.86,2.37,1.0462816249731013e-05,108.42,7.0
SINGAPORE,20153.95,102.3,197,1,160,4603,23.37,65.33,0.001944909385318819,20153.95,197.0
SPAIN,53370.6,25.22,2116,30,1008,23932,11.31,3.85,0.005150403808687456,1779.02,70.53333333333333
SWEDEN,32621.69,84.51,386,8,235,30214,78.27,3.52,0.0031480792125593775,4077.71125,48.25
SWITZERLAND,48814.26,29.28,1667,22,878,26234,15.74,3.39,0.0047107049690702325,2218.83,75.77272727272727
UNITED ARAB EMIRATES,1596.76,28.51,56,2,56,798,14.25,3.49,0.00015409155575466237,798.38,28.0
UNITED KINGDOM,8527409.66,19.17,444788,4264,3927,4401694,9.9,3.88,0.8229175461977607,1999.861552532833,104.31238273921201
UNSPECIFIED,4042.96,10.84,373,5,300,2859,7.66,2.61,0.0003901563141949133,808.592,74.6
USA,3193.99,20.34,157,4,145,2233,14.22,2.25,0.0003082284677502154,798.4975,39.25
